#{"t_start": 1666530487.3859344, "env_id": null}
r,l,t
15.060735,151,1639.25628
13.331972,151,1639.25628
12.403796,151,1648.120102
10.941844,151,1648.302451
14.150847,151,1648.302451
13.853684,151,1648.302451
8.052826,151,1657.033446
16.891872,151,1657.246016
12.738274,151,1657.246016
13.470505,151,1657.246016
12.846101,151,1666.085775
15.550822,151,1666.238631
15.317941,151,1666.238631
7.747473,151,1666.238631
15.1193905,151,1674.786659
4.9939227,151,1674.986602
9.054635,151,1674.986602
11.473986,151,1674.986602
9.362564,151,1683.694364
-34.68929,151,1683.895112
8.735244,151,1683.895112
11.631367,151,1683.895112
16.761267,151,1692.753236
14.422785,151,1692.936512
7.863865,151,1692.936512
7.93858,151,1692.936512
8.186767,138,1836.967891
12.994966,138,1837.150687
5.595199,138,1837.150687
9.478034,138,1837.150687
10.240597,151,1845.983722
13.294915,151,1846.190474
16.0604,151,1846.190474
14.377054,151,1846.190474
14.160753,151,1854.962368
9.486473,151,1855.162187
15.136597,151,1855.162689
17.528538,151,1855.162689
11.06356,151,1863.981346
19.276949,151,1864.14965
8.567622,151,1864.14965
12.265588,151,1864.14965
15.068213,151,1872.934043
12.302496,151,1873.102346
13.681697,151,1873.102346
-28.391861,151,1873.102346
-38.919052,151,1881.851131
13.338524,151,1882.049758
-37.91089,151,1882.049758
9.447472,151,1882.049758
10.602257,151,1890.750458
12.382908,151,1890.962246
10.494781,151,1890.962246
14.775193,151,1890.962246
16.913979,151,1899.792868
-35.697323,151,1900.000632
14.222804,151,1900.000632
16.483034,151,1900.000632
13.218307,151,1908.585856
14.761576,151,1908.738789
9.902436,151,1908.738789
13.142756,151,1908.738789
12.651761,151,1917.564732
3.7340014,151,1917.764492
-36.941902,151,1917.764492
-38.660202,151,1917.764492
5.6970854,151,1926.506236
12.024312,151,1926.690019
16.479483,151,1926.690019
9.255558,151,1926.690019
10.9137945,151,1935.439557
11.661146,151,1935.623872
8.322258,151,1935.623872
12.130267,151,1935.623872
13.568739,151,1944.505564
7.957138,151,1944.659412
15.0280285,151,1944.659412
14.564006,151,1944.659412
12.010544,151,1953.358816
9.245392,151,1953.542099
9.357728,151,1953.542099
9.218056,151,1953.542099
15.412584,150,1978.330685
-14.0149765,150,1978.469558
17.666393,150,1978.469558
2.937618,150,1978.469558
12.0373955,151,1987.244656
11.604424,151,1987.412958
9.463053,151,1987.412958
